codigo proyecto,mes gasto,partida gasto,monto gasto
PRY-001,Enero 2026,Personal,425.5
PRY-012,Agosto 2026,Transporte,19511.5
PRY-023,Marzo 2026,Personal,34497.5
PRY-009,Octubre 2026,Transporte,29208.5
PRY-020,Mayo 2026,Personal,44194.5
PRY-006,Diciembre 2026,Transporte,38905.5
PRY-017,Julio 2026,Personal,4391.5
PRY-003,Febrero 2026,Transporte,48602.5
PRY-014,Septiembre 2026,Personal,14088.5
PRY-025,Abril 2026,Transporte,33174.5
PRY-011,Noviembre 2026,Personal,23785.5
PRY-022,Junio 2026,Transporte,42871.5
PRY-008,Enero 2026,Personal,33482.5
PRY-019,Agosto 2026,Transporte,3068.5
PRY-005,Marzo 2026,Personal,43179.5
PRY-016,Octubre 2026,Transporte,12765.5
PRY-002,Mayo 2026,Personal,3376.5
PRY-014,Diciembre 2026,Transporte,23437.5
PRY-025,Julio 2026,Personal,38423.5
PRY-011,Febrero 2026,Transporte,33134.5
PRY-022,Septiembre 2026,Personal,48120.5
PRY-008,Abril 2026,Transporte,42831.5
PRY-019,Noviembre 2026,Personal,8317.5
PRY-005,Junio 2026,Transporte,3028.5
PRY-016,Enero 2026,Personal,18014.5
PRY-002,Agosto 2026,Transporte,12725.5
PRY-013,Marzo 2026,Personal,27711.5
PRY-024,Octubre 2026,Transporte,46797.5
PRY-010,Mayo 2026,Personal,37408.5
PRY-021,Enero 2026,Transporte,6994.5
PRY-007,Agosto 2026,Personal,47105.5
PRY-018,Marzo 2026,Comunicación y marketing,17101.5
PRY-004,Octubre 2026,Equipamiento,7712.5
PRY-015,Mayo 2026,Comunicación y marketing,26798.5
PRY-002,Diciembre 2026,Equipamiento,18384.5
PRY-013,Julio 2026,Comunicación y marketing,37470.5
PRY-024,Febrero 2026,Equipamiento,2956.5
PRY-010,Septiembre 2026,Comunicación y marketing,47167.5
PRY-021,Abril 2026,Equipamiento,12653.5
PRY-007,Noviembre 2026,Comunicación y marketing,7364.5
PRY-018,Junio 2026,Equipamiento,22350.5
PRY-004,Enero 2026,Comunicación y marketing,17061.5
PRY-015,Agosto 2026,Equipamiento,32047.5
PRY-001,Marzo 2026,Comunicación y marketing,26758.5
PRY-012,Octubre 2026,Equipamiento,41744.5
PRY-023,Mayo 2026,Comunicación y marketing,11330.5
PRY-009,Diciembre 2026,Equipamiento,1941.5
PRY-020,Julio 2026,Comunicación y marketing,21027.5
PRY-006,Febrero 2026,Equipamiento,11638.5
PRY-017,Septiembre 2026,Comunicación y marketing,30724.5
PRY-003,Abril 2026,Equipamiento,21335.5
PRY-015,Noviembre 2026,Comunicación y marketing,41396.5
PRY-001,Junio 2026,Equipamiento,32007.5
PRY-012,Enero 2026,Comunicación y marketing,1593.5
PRY-023,Agosto 2026,Equipamiento,16579.5
