codigo proyecto,nombre proyecto,mes presupuesto,partida presupuesto,monto presupuesto
PRY-001,Ampliación de oficina central,Enero 2026,Personal,3500.75
PRY-008,Centro de atención al cliente,Junio 2026,Software y licencias,22794.75
PRY-015,Migración de datos corporativos,Noviembre 2026,Comunicación y marketing,42088.75
PRY-022,Programa de fidelización,Abril 2026,Contingencias,61382.75
PRY-004,Programa de capacitación comercial,Septiembre 2026,Servicios profesionales,40676.75
PRY-011,Expansión de almacenes,Febrero 2026,Transporte,59970.75
PRY-018,Apertura de sede sur,Julio 2026,Mantenimiento,79264.75
PRY-025,Resiliencia y continuidad operativa,Diciembre 2026,Equipamiento,89808.75
PRY-007,Optimización de cadena de suministro,Mayo 2026,Materiales,77852.75
PRY-014,Equipamiento de laboratorio,Octubre 2026,Capacitación,97146.75
PRY-021,Optimización energética,Marzo 2026,Personal,107690.75
PRY-003,Implementación de CRM,Agosto 2026,Software y licencias,95734.75
PRY-010,Plan de seguridad operativa,Enero 2026,Comunicación y marketing,115028.75
PRY-017,Mantenimiento de flota,Junio 2026,Contingencias,12822.75
PRY-024,Gestión documental,Noviembre 2026,Servicios profesionales,23366.75
PRY-006,Campaña de posicionamiento regional,Abril 2026,Transporte,11410.75
PRY-013,Programa de sostenibilidad,Septiembre 2026,Mantenimiento,30704.75
PRY-020,Actualización de marca,Febrero 2026,Equipamiento,41248.75
PRY-002,Modernización de planta norte,Julio 2026,Materiales,29292.75
PRY-010,Plan de seguridad operativa,Diciembre 2026,Capacitación,49836.75
PRY-017,Mantenimiento de flota,Mayo 2026,Personal,60380.75
PRY-024,Gestión documental,Octubre 2026,Software y licencias,79674.75
PRY-006,Campaña de posicionamiento regional,Marzo 2026,Comunicación y marketing,67718.75
PRY-013,Programa de sostenibilidad,Agosto 2026,Personal,79137.75
PRY-020,Actualización de marca,Enero 2026,Software y licencias,98431.75
PRY-002,Modernización de planta norte,Junio 2026,Comunicación y marketing,86475.75
PRY-009,Desarrollo de portal web,Noviembre 2026,Contingencias,105769.75
PRY-016,Rediseño de experiencia móvil,Abril 2026,Servicios profesionales,116313.75
PRY-023,Renovación de puntos de venta,Septiembre 2026,Transporte,14107.75
PRY-005,Renovación de infraestructura TI,Febrero 2026,Mantenimiento,123651.75
PRY-012,Automatización de reportes,Julio 2026,Equipamiento,12695.75
PRY-019,Proyecto de analítica avanzada,Diciembre 2026,Materiales,31989.75
PRY-001,Ampliación de oficina central,Mayo 2026,Capacitación,20033.75
PRY-008,Centro de atención al cliente,Octubre 2026,Personal,30577.75
PRY-015,Migración de datos corporativos,Marzo 2026,Software y licencias,49871.75
PRY-022,Programa de fidelización,Agosto 2026,Comunicación y marketing,69165.75
PRY-004,Programa de capacitación comercial,Enero 2026,Contingencias,57209.75
PRY-011,Expansión de almacenes,Julio 2026,Servicios profesionales,67753.75
PRY-019,Proyecto de analítica avanzada,Diciembre 2026,Transporte,88297.75
PRY-001,Ampliación de oficina central,Mayo 2026,Mantenimiento,76341.75
PRY-008,Centro de atención al cliente,Octubre 2026,Equipamiento,86885.75
PRY-015,Migración de datos corporativos,Marzo 2026,Materiales,106179.75
PRY-022,Programa de fidelización,Agosto 2026,Capacitación,3973.75
PRY-004,Programa de capacitación comercial,Enero 2026,Personal,104767.75
PRY-011,Expansión de almacenes,Junio 2026,Software y licencias,124061.75
PRY-018,Apertura de sede sur,Noviembre 2026,Comunicación y marketing,21855.75
PRY-025,Resiliencia y continuidad operativa,Abril 2026,Personal,33274.75
PRY-007,Optimización de cadena de suministro,Septiembre 2026,Software y licencias,21318.75
PRY-014,Equipamiento de laboratorio,Febrero 2026,Comunicación y marketing,40612.75
PRY-021,Optimización energética,Julio 2026,Contingencias,59906.75
PRY-003,Implementación de CRM,Diciembre 2026,Servicios profesionales,39200.75
PRY-010,Plan de seguridad operativa,Mayo 2026,Transporte,58494.75
PRY-017,Mantenimiento de flota,Octubre 2026,Mantenimiento,77788.75
PRY-024,Gestión documental,Marzo 2026,Equipamiento,88332.75
PRY-006,Campaña de posicionamiento regional,Agosto 2026,Materiales,76376.75
PRY-013,Programa de sostenibilidad,Enero 2026,Capacitación,95670.75
PRY-020,Actualización de marca,Junio 2026,Personal,106214.75
PRY-003,Implementación de CRM,Noviembre 2026,Software y licencias,95508.75
PRY-010,Plan de seguridad operativa,Abril 2026,Comunicación y marketing,114802.75
PRY-017,Mantenimiento de flota,Septiembre 2026,Contingencias,12596.75
PRY-024,Gestión documental,Febrero 2026,Servicios profesionales,23140.75
PRY-006,Campaña de posicionamiento regional,Julio 2026,Transporte,11184.75
PRY-013,Programa de sostenibilidad,Diciembre 2026,Mantenimiento,30478.75
PRY-020,Actualización de marca,Mayo 2026,Equipamiento,41022.75
PRY-002,Modernización de planta norte,Octubre 2026,Materiales,29066.75
PRY-009,Desarrollo de portal web,Marzo 2026,Capacitación,48360.75
PRY-016,Rediseño de experiencia móvil,Agosto 2026,Personal,58904.75
PRY-023,Renovación de puntos de venta,Enero 2026,Software y licencias,78198.75
PRY-005,Renovación de infraestructura TI,Junio 2026,Comunicación y marketing,66242.75
PRY-012,Automatización de reportes,Noviembre 2026,Personal,77661.75
PRY-019,Proyecto de analítica avanzada,Abril 2026,Software y licencias,96955.75
PRY-001,Ampliación de oficina central,Septiembre 2026,Comunicación y marketing,84999.75
PRY-008,Centro de atención al cliente,Febrero 2026,Contingencias,104293.75
PRY-015,Migración de datos corporativos,Julio 2026,Servicios profesionales,114837.75
PRY-022,Programa de fidelización,Enero 2026,Transporte,12631.75
PRY-004,Programa de capacitación comercial,Junio 2026,Mantenimiento,122175.75
PRY-012,Automatización de reportes,Noviembre 2026,Equipamiento,12469.75
PRY-019,Proyecto de analítica avanzada,Abril 2026,Materiales,31763.75
PRY-001,Ampliación de oficina central,Septiembre 2026,Capacitación,19807.75
PRY-008,Centro de atención al cliente,Febrero 2026,Personal,30351.75
PRY-015,Migración de datos corporativos,Julio 2026,Software y licencias,49645.75
PRY-022,Programa de fidelización,Diciembre 2026,Comunicación y marketing,68939.75
PRY-004,Programa de capacitación comercial,Mayo 2026,Contingencias,56983.75
PRY-011,Expansión de almacenes,Octubre 2026,Servicios profesionales,67527.75
PRY-018,Apertura de sede sur,Marzo 2026,Transporte,86821.75
PRY-025,Resiliencia y continuidad operativa,Agosto 2026,Mantenimiento,106115.75
PRY-007,Optimización de cadena de suministro,Enero 2026,Equipamiento,85409.75
PRY-014,Equipamiento de laboratorio,Junio 2026,Materiales,104703.75
PRY-021,Optimización energética,Noviembre 2026,Capacitación,123997.75
PRY-003,Implementación de CRM,Abril 2026,Personal,103291.75
PRY-010,Plan de seguridad operativa,Septiembre 2026,Software y licencias,122585.75
PRY-017,Mantenimiento de flota,Febrero 2026,Comunicación y marketing,20379.75
PRY-024,Gestión documental,Julio 2026,Personal,31798.75
PRY-006,Campaña de posicionamiento regional,Diciembre 2026,Software y licencias,19842.75
PRY-013,Programa de sostenibilidad,Mayo 2026,Comunicación y marketing,39136.75
PRY-021,Optimización energética,Octubre 2026,Contingencias,59680.75
PRY-003,Implementación de CRM,Marzo 2026,Servicios profesionales,38974.75
PRY-010,Plan de seguridad operativa,Agosto 2026,Transporte,58268.75
PRY-017,Mantenimiento de flota,Enero 2026,Mantenimiento,77562.75
PRY-024,Gestión documental,Junio 2026,Equipamiento,88106.75
PRY-006,Campaña de posicionamiento regional,Noviembre 2026,Materiales,76150.75
PRY-013,Programa de sostenibilidad,Abril 2026,Capacitación,95444.75
PRY-020,Actualización de marca,Septiembre 2026,Personal,105988.75
PRY-002,Modernización de planta norte,Febrero 2026,Software y licencias,94032.75
PRY-009,Desarrollo de portal web,Julio 2026,Comunicación y marketing,113326.75
PRY-016,Rediseño de experiencia móvil,Diciembre 2026,Contingencias,11120.75
PRY-023,Renovación de puntos de venta,Mayo 2026,Servicios profesionales,21664.75
PRY-005,Renovación de infraestructura TI,Octubre 2026,Transporte,9708.75
PRY-012,Automatización de reportes,Marzo 2026,Mantenimiento,29002.75
PRY-019,Proyecto de analítica avanzada,Agosto 2026,Equipamiento,39546.75
PRY-001,Ampliación de oficina central,Enero 2026,Materiales,27590.75
PRY-008,Centro de atención al cliente,Julio 2026,Capacitación,46884.75
PRY-015,Migración de datos corporativos,Diciembre 2026,Personal,57428.75
PRY-022,Programa de fidelización,Mayo 2026,Software y licencias,76722.75
PRY-005,Renovación de infraestructura TI,Octubre 2026,Comunicación y marketing,66016.75
PRY-012,Automatización de reportes,Marzo 2026,Personal,77435.75
PRY-019,Proyecto de analítica avanzada,Agosto 2026,Software y licencias,96729.75
PRY-001,Ampliación de oficina central,Enero 2026,Comunicación y marketing,84773.75
PRY-008,Centro de atención al cliente,Junio 2026,Contingencias,104067.75
PRY-015,Migración de datos corporativos,Noviembre 2026,Servicios profesionales,114611.75
PRY-022,Programa de fidelización,Abril 2026,Transporte,12405.75
PRY-004,Programa de capacitación comercial,Septiembre 2026,Mantenimiento,121949.75
PRY-011,Expansión de almacenes,Febrero 2026,Equipamiento,10993.75
PRY-018,Apertura de sede sur,Julio 2026,Materiales,30287.75
PRY-025,Resiliencia y continuidad operativa,Diciembre 2026,Capacitación,49581.75
PRY-007,Optimización de cadena de suministro,Mayo 2026,Personal,28875.75
PRY-014,Equipamiento de laboratorio,Octubre 2026,Software y licencias,48169.75
PRY-021,Optimización energética,Marzo 2026,Comunicación y marketing,67463.75
PRY-003,Implementación de CRM,Agosto 2026,Contingencias,55507.75
PRY-010,Plan de seguridad operativa,Enero 2026,Servicios profesionales,66051.75
PRY-017,Mantenimiento de flota,Junio 2026,Transporte,85345.75
PRY-024,Gestión documental,Noviembre 2026,Mantenimiento,104639.75
PRY-006,Campaña de posicionamiento regional,Abril 2026,Equipamiento,83933.75
PRY-014,Equipamiento de laboratorio,Septiembre 2026,Materiales,104477.75
PRY-021,Optimización energética,Febrero 2026,Capacitación,123771.75
PRY-003,Implementación de CRM,Julio 2026,Personal,103065.75
PRY-010,Plan de seguridad operativa,Diciembre 2026,Software y licencias,122359.75
PRY-017,Mantenimiento de flota,Mayo 2026,Comunicación y marketing,20153.75
PRY-024,Gestión documental,Octubre 2026,Personal,31572.75
PRY-006,Campaña de posicionamiento regional,Marzo 2026,Software y licencias,19616.75
PRY-013,Programa de sostenibilidad,Agosto 2026,Comunicación y marketing,38910.75
PRY-020,Actualización de marca,Enero 2026,Contingencias,58204.75
PRY-002,Modernización de planta norte,Junio 2026,Servicios profesionales,37498.75
PRY-009,Desarrollo de portal web,Noviembre 2026,Transporte,56792.75
PRY-016,Rediseño de experiencia móvil,Abril 2026,Mantenimiento,76086.75
PRY-023,Renovación de puntos de venta,Septiembre 2026,Equipamiento,86630.75
PRY-005,Renovación de infraestructura TI,Febrero 2026,Materiales,74674.75
PRY-012,Automatización de reportes,Julio 2026,Capacitación,93968.75
PRY-019,Proyecto de analítica avanzada,Enero 2026,Personal,104512.75
PRY-001,Ampliación de oficina central,Junio 2026,Software y licencias,92556.75
PRY-008,Centro de atención al cliente,Noviembre 2026,Comunicación y marketing,111850.75
PRY-015,Migración de datos corporativos,Abril 2026,Contingencias,9644.75
PRY-023,Renovación de puntos de venta,Septiembre 2026,Servicios profesionales,21438.75
PRY-005,Renovación de infraestructura TI,Febrero 2026,Transporte,9482.75
PRY-012,Automatización de reportes,Julio 2026,Mantenimiento,28776.75
PRY-019,Proyecto de analítica avanzada,Diciembre 2026,Equipamiento,39320.75
PRY-001,Ampliación de oficina central,Mayo 2026,Materiales,27364.75
PRY-008,Centro de atención al cliente,Octubre 2026,Capacitación,46658.75
PRY-015,Migración de datos corporativos,Marzo 2026,Personal,57202.75
PRY-022,Programa de fidelización,Agosto 2026,Software y licencias,76496.75
PRY-004,Programa de capacitación comercial,Enero 2026,Comunicación y marketing,64540.75
